Daily hospital occupancy,value_t-1,value_t-2,value_t-3,value_t-4,value_t-5,value_t-6,value_t-7,country_Belgium,country_Croatia,country_Cyprus,country_Czechia,country_Denmark,country_Estonia,country_Iceland,country_Ireland,country_Italy,country_Lithuania,country_Netherlands,country_Norway,country_Portugal,country_Slovenia,country_Spain
0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,0.263,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.493,0.37,0.263,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.646,0.493,0.37,0.263,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.84,0.646,0.493,0.37,0.263,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1108,0.084,0.0646,0.0493,0.037,0.0263,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1384,0.1108,0.084,0.0646,0.0493,0.037,0.0263,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1661,0.1384,0.1108,0.084,0.0646,0.0493,0.037,0.0263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1883,0.1661,0.1384,0.1108,0.084,0.0646,0.0493,0.037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2204,0.1883,0.1661,0.1384,0.1108,0.084,0.0646,0.0493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2721,0.2204,0.1883,0.1661,0.1384,0.1108,0.084,0.0646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3111,0.2721,0.2204,0.1883,0.1661,0.1384,0.1108,0.084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3649,0.3111,0.2721,0.2204,0.1883,0.1661,0.1384,0.1108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4088,0.3649,0.3111,0.2721,0.2204,0.1883,0.1661,0.1384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4536,0.4088,0.3649,0.3111,0.2721,0.2204,0.1883,0.1661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4897,0.4536,0.4088,0.3649,0.3111,0.2721,0.2204,0.1883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4988,0.4897,0.4536,0.4088,0.3649,0.3111,0.2721,0.2204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5219,0.4988,0.4897,0.4536,0.4088,0.3649,0.3111,0.2721,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5398,0.5219,0.4988,0.4897,0.4536,0.4088,0.3649,0.3111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5562,0.5398,0.5219,0.4988,0.4897,0.4536,0.4088,0.3649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5531,0.5562,0.5398,0.5219,0.4988,0.4897,0.4536,0.4088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.562,0.5531,0.5562,0.5398,0.5219,0.4988,0.4897,0.4536,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5759,0.562,0.5531,0.5562,0.5398,0.5219,0.4988,0.4897,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.571,0.5759,0.562,0.5531,0.5562,0.5398,0.5219,0.4988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.562,0.571,0.5759,0.562,0.5531,0.5562,0.5398,0.5219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.564,0.562,0.571,0.5759,0.562,0.5531,0.5562,0.5398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5663,0.564,0.562,0.571,0.5759,0.562,0.5531,0.5562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5538,0.5663,0.564,0.562,0.571,0.5759,0.562,0.5531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5542,0.5538,0.5663,0.564,0.562,0.571,0.5759,0.562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5554,0.5542,0.5538,0.5663,0.564,0.562,0.571,0.5759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5532,0.5554,0.5542,0.5538,0.5663,0.564,0.562,0.571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5331,0.5532,0.5554,0.5542,0.5538,0.5663,0.564,0.562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5181,0.5331,0.5532,0.5554,0.5542,0.5538,0.5663,0.564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5088,0.5181,0.5331,0.5532,0.5554,0.5542,0.5538,0.5663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4889,0.5088,0.5181,0.5331,0.5532,0.5554,0.5542,0.5538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
